name,technology,fuel,maxPower,minPower,efficiency,rampUp,rampDown,variableCosts,hotStartCosts,warmStartCosts,coldStartCosts,minOperatingTime,minDowntime,heatExtraction,maxExtraction,company,heatingDistrict,year,learning
HKW SANDREUTH 2 NUERNBERG,combined cycle gas turbine,natural gas,75,30,0.52,62,62,3.5,24.1,34.2,46.7,5,3,yes,110,N-ERGIE AG,BY,0,0
HKW GUD NEUBRANDENBURG,combined cycle gas turbine,natural gas,75,30,0.489,62,62,3.5,24.1,34.2,46.7,5,3,yes,90,NEUBRANDENBURGER STADTWERKE,BB,0,0
GUD GERA NORD,combined cycle gas turbine,natural gas,74,30,0.489,62,62,3.5,24.1,34.2,46.7,5,3,yes,84,GDF SUEZ ENERGIE DEUTSCHLAND,TH,0,0
HKW FLENSBURG 12,combined cycle gas turbine,natural gas,73,30,0.51,61,61,3.5,24.1,34.2,46.7,5,3,yes,75,STADTWERKE FLENSBURG GMBH,SH,0,0
SCHWERIN SUD,combined cycle gas turbine,natural gas,70,28,0.471,58,58,3.5,24.1,34.2,46.7,5,3,yes,60,STADTWERKE SCHWERIN,MV,0,0
FREIBURG WVK,combined cycle gas turbine,natural gas,60,24,0.48,50,50,3.5,24.1,34.2,46.7,5,3,yes,0,BADENOVA AG & CO KG,BW,0,0
PKV KRAFTWERK VAREL,combined cycle gas turbine,natural gas,58,24,0.38,48,48,3.5,24.1,34.2,46.7,5,3,yes,0,PAPIER- UND KARTONFABRIK VAREL,NI,0,0
KW BASF LUDWIGSHAFEN NORD,combined cycle gas turbine,natural gas,56,23,0.38,47,47,3.5,24.1,34.2,46.7,5,3,yes,280,BASF AG,RP,0,0
HKW ELTMANN,combined cycle gas turbine,natural gas,54,22,0.41,45,45,3.5,24.1,34.2,46.7,5,3,yes,0,PAPIERFABRIK PALM GMBH & CO KG,BY,0,0
HKW KASSEL KOMBI,combined cycle gas turbine,natural gas,53,22,0.426,44,44,3.5,24.1,34.2,46.7,5,3,yes,55,KASSELER VERKEHRS- UND VERSORGUNGS GMBH,HE,0,0
KW HALLE DIESELSTRASSE BLOCK 1,combined cycle gas turbine,natural gas,47,19,0.44,39,39,3.5,24.1,34.2,46.7,5,3,yes,40,EVH GMBH,ST,0,0
KW HALLE DIESELSTRASSE BLOCK 2,combined cycle gas turbine,natural gas,47,19,0.44,39,39,3.5,24.1,34.2,46.7,5,3,yes,40,EVH GMBH,ST,0,0
HKW FRIEDENSBRUECKE BLOCK IV,combined cycle gas turbine,natural gas,45,18,0.38,38,38,3.5,24.1,34.2,46.7,5,3,yes,0,WVV - WUERZBURGER VERSORGUNGS- und VERKEHRS GMBH,BY,0,0
HKW HILTROP BOCHUM,combined cycle gas turbine,natural gas,44,18,0.43,37,37,3.5,24.1,34.2,46.7,5,3,yes,46,STADTWERKE BOCHUM AG,NW,0,0
HKW PFORZHEIM,combined cycle gas turbine,natural gas,41,17,0.326,34,34,3.5,24.1,34.2,46.7,5,3,yes,0,SWP - STADTWERKE PFORZHEIM GMBH,BW,0,0
KW GRENZACH WYHLEN 1,combined cycle gas turbine,natural gas,40,16,0.531,33,33,3.5,24.1,34.2,46.7,5,3,yes,0,UNIPER,BW,0,0
HKW SUD SAARBRUECKEN,combined cycle gas turbine,natural gas,39,16,0.59,33,33,3.5,24.1,34.2,46.7,5,3,yes,0,VVS SAARBRUECKEN,SL,0,0
GUD BIELEFELD HILLEGOSSEN,combined cycle gas turbine,natural gas,38,16,0.54,32,32,3.5,24.1,34.2,46.7,5,3,yes,0,STADTWERKE BIELEFELD GMBH,NW,0,0
HKW UNTERBREIZBACH,combined cycle gas turbine,natural gas,34,14,0.315,29,29,3.5,24.1,34.2,46.7,5,3,yes,0,K+S AG,TH,0,0
HKW ERLANGEN,combined cycle gas turbine,natural gas,30,12,0.54,25,25,3.5,24.1,34.2,46.7,5,3,yes,0,ESTW - ERLANGER STADTWERKE AG,BY,0,0
HKW FRIEDENSBRUECKE BLOCK II,combined cycle gas turbine,natural gas,30,12,0.38,25,25,3.5,24.1,34.2,46.7,5,3,yes,0,WVV - WUERZBURGER VERSORGUNGS- und VERKEHRS GMBH,BY,0,0
KWK ANLAGE KREFELD,combined cycle gas turbine,natural gas,26,11,0.42,22,22,3.5,24.1,34.2,46.7,5,3,yes,0,LANXESS,NW,0,0
KWK ANLAGE NEUSTADT,combined cycle gas turbine,natural gas,26,11,0.34,22,22,3.5,24.1,34.2,46.7,5,3,yes,0,STADTWERKE NEUSTADT,RP,0,0
HKW SCHWERIN LANKOW,combined cycle gas turbine,natural gas,24,10,0.471,20,20,3.5,24.1,34.2,46.7,5,3,yes,0,STADTWERKE SCHWERIN,MV,0,0
KWK ANLAGE MOHN MEDIA GÜTERSLOH,combined cycle gas turbine,natural gas,22,9,0.45,19,19,3.5,24.1,34.2,46.7,5,3,yes,0,MOHN MEDIA,NW,0,0
HKW HBB RAUBLING,combined cycle gas turbine,natural gas,21,9,0.46,18,18,3.5,24.1,34.2,46.7,5,3,yes,0,ROMAN BAUERNFEIND PAPIERFABRIK,BY,0,0
KW STAUDINGER 4,open cycle gas turbine,natural gas,622,160,0.317,622,622,5.5,17.1,21.8,29.6,0,0,no,0,UNIPER,HE,0,0
NUERNBERG FRANKEN 1,open cycle gas turbine,natural gas,440,110,0.363,440,440,5.5,17.1,21.8,29.6,0,0,no,0,UNIPER,BY,0,0
IRSCHING 3,open cycle gas turbine,natural gas,440,110,0.308,440,440,5.5,17.1,21.8,29.6,0,0,no,25,UNIPER,BY,0,0
KW HUNTORF CAES GT,open cycle gas turbine,natural gas,321,90,0.31,321,321,5.5,17.1,21.8,29.6,0,0,no,0,UNIPER,NI,0,0
KW DUISBURG HUCKINGEN BLOCK A,open cycle gas turbine,natural gas,303,80,0.363,303,303,5.5,17.1,21.8,29.6,0,0,yes,34,STADTWERKE DUISBURG AG,NW,0,0
KW DUISBURG HUCKINGEN BLOCK B,open cycle gas turbine,natural gas,303,80,0.363,303,303,5.5,17.1,21.8,29.6,0,0,yes,34,STADTWERKE DUISBURG AG,NW,0,0
KW WEISWEILER VGT BLOCK G,open cycle gas turbine,natural gas,272,70,0.377,272,272,5.5,17.1,21.8,29.6,0,0,no,0,RWE POWER AG,NW,0,0
KW WEISWEILER VGT BLOCK H,open cycle gas turbine,natural gas,272,70,0.377,272,272,5.5,17.1,21.8,29.6,0,0,no,0,RWE POWER AG,NW,0,0
DKW BGH O1 BURGHAUSEN WACKER CHEMIE,open cycle gas turbine,natural gas,178,50,0.36,178,178,5.5,17.1,21.8,29.6,0,0,yes,350,WACKER-CHEMIE GMBH,BY,0,0
KW MITTELSBUEREN BLOCK 4,open cycle gas turbine,natural gas,150,40,0.374,150,150,5.5,17.1,21.8,29.6,0,0,yes,0,SWB AG,HB,0,0
KW BREMEN HASTEDT 14,open cycle gas turbine,natural gas,150,40,0.298,150,150,5.5,17.1,21.8,29.6,0,0,yes,128,SWB AG,HB,0,0
LICHTERFELDE 2,open cycle gas turbine,natural gas,150,40,0.298,150,150,5.5,17.1,21.8,29.6,0,0,yes,240,VATTENFALL EUROPE AG,BE,0,0
KW HANNOVER HERRENHAUSEN B,open cycle gas turbine,natural gas,100,30,0.38,100,100,5.5,17.1,21.8,29.6,0,0,yes,280,STADTWERKE HANNOVER AG,NI,0,0
HKW FRANKFURT WEST GT,open cycle gas turbine,natural gas,98,25,0.352,98,98,5.5,17.1,21.8,29.6,0,0,yes,150,MAINOVA AG,HE,0,0
KW MAINZ II GT,open cycle gas turbine,natural gas,94,24,0.41,94,94,5.5,17.1,21.8,29.6,0,0,no,45,KRAFTWERK MAINZ-WIESBADEN AG,RP,0,0
KW MARL BLOCK 312 EVONIK,open cycle gas turbine,natural gas,78,20,0.4,78,78,5.5,17.1,21.8,29.6,0,0,yes,390,EVONIK INDUSTRIES AG,NW,0,0
CHARLOTTENBURG GT 1,open cycle gas turbine,natural gas,71,18,0.308,71,71,5.5,17.1,21.8,29.6,0,0,yes,100,VATTENFALL EUROPE AG,BE,0,0
CHARLOTTENBURG GT 2,open cycle gas turbine,natural gas,71,18,0.308,71,71,5.5,17.1,21.8,29.6,0,0,yes,100,VATTENFALL EUROPE AG,BE,0,0
HKW CHEMNITZ NORD II BLOCK A,open cycle gas turbine,natural gas,67,17,0.335,67,67,5.5,17.1,21.8,29.6,0,0,yes,0,EINS ENERGIE IN SACHSEN GMBH,SN,0,0
INDUSTRIEKRAFTWERK BERNBURG (IKB),open cycle gas turbine,natural gas,66,17,0.36,66,66,5.5,17.1,21.8,29.6,0,0,yes,215,SOLVAY SA,ST,0,0
ALTBACH II GT E,open cycle gas turbine,natural gas,65,17,0.361,65,65,5.5,17.1,21.8,29.6,0,0,no,0,ENBW ENERGIE BADEN-WURTTEMBERG,BW,0,0
KW OBERNBURG GT1,open cycle gas turbine,natural gas,64,16,0.36,64,64,5.5,17.1,21.8,29.6,0,0,yes,112,AKZO NOBEL FIBERS BV,BY,0,0
GTKW BIELEFELD UMMELN,open cycle gas turbine,natural gas,60,15,0.31,60,60,5.5,17.1,21.8,29.6,0,0,no,0,STADTWERKE BIELEFELD GMBH,NW,0,0
CHARLOTTENBURG GT 3,open cycle gas turbine,natural gas,60,15,0.308,60,60,5.5,17.1,21.8,29.6,0,0,yes,100,VATTENFALL EUROPE AG,BE,0,0
KW LANDESBERGEN GT,open cycle gas turbine,natural gas,56,14,0.345,56,56,5.5,17.1,21.8,29.6,0,0,no,0,STATKRAFT AS,NI,0,0
GERSTEINWERK BLOCK I GT,open cycle gas turbine,natural gas,55,14,0.308,55,55,5.5,17.1,21.8,29.6,0,0,no,0,RWE POWER AG,NW,0,0
KW ZIELITZ,open cycle gas turbine,natural gas,52,13,0.41,52,52,5.5,17.1,21.8,29.6,0,0,no,0,K+S AG,ST,0,0
KW EMDEN BLOCK 4 GT,open cycle gas turbine,natural gas,50,13,0.308,50,50,5.5,17.1,21.8,29.6,0,0,no,0,STATKRAFT AS,NI,0,0
IKW GENDORF INFRASERV,open cycle gas turbine,natural gas,49,13,0.369,49,49,5.5,9.3,9.3,9.3,0,0,no,0,INFRASERV,BY,0,0
GTKW DARMSTADT GT 1,open cycle gas turbine,natural gas,47,12,0.396,47,47,5.5,9.3,9.3,9.3,0,0,no,0,ENTEGA AG,HE,0,0
GTKW DARMSTADT GT 2,open cycle gas turbine,natural gas,47,12,0.396,47,47,5.5,9.3,9.3,9.3,0,0,no,0,ENTEGA AG,HE,0,0
UPM SCHONGAU,open cycle gas turbine,natural gas,45,12,0.308,45,45,5.5,9.3,9.3,9.3,0,0,no,0,UPM OYJ,BY,0,0
WOLFEN ENVIA,open cycle gas turbine,natural gas,40,10,0.361,40,40,5.5,9.3,9.3,9.3,0,0,no,0,ENVIA MITTELDEUTSCHE ENERGIE,ST,0,0
HKW DUISBURG WANHEIM IIIA,open cycle gas turbine,natural gas,40,10,0.36,40,40,5.5,9.3,9.3,9.3,0,0,no,0,STADTWERKE DUISBURG AG,NW,0,0
KW LEUNA GT 3,open cycle gas turbine,natural gas,38,10,0.36,38,38,5.5,9.3,9.3,9.3,0,0,no,0,STEAG GMBH,ST,0,0
AHRENSFELDE GT D,open cycle gas turbine,natural gas,38,10,0.353,38,38,5.5,9.3,9.3,9.3,0,0,no,0,VATTENFALL EUROPE AG,BB,0,0
AHRENSFELDE GT A,open cycle gas turbine,natural gas,38,10,0.344,38,38,5.5,9.3,9.3,9.3,0,0,no,0,VATTENFALL EUROPE AG,BB,0,0
AHRENSFELDE GT B,open cycle gas turbine,natural gas,38,10,0.344,38,38,5.5,9.3,9.3,9.3,0,0,no,0,VATTENFALL EUROPE AG,BB,0,0
THYROW GT E,open cycle gas turbine,natural gas,38,10,0.344,38,38,5.5,9.3,9.3,9.3,0,0,no,0,VATTENFALL EUROPE AG,BB,0,0
AHRENSFELDE GT C,open cycle gas turbine,natural gas,38,10,0.343,38,38,5.5,9.3,9.3,9.3,0,0,no,0,VATTENFALL EUROPE AG,BB,0,0
INGOLSTADT 3,oil,oil,400,100,0.308,400,400,5.5,20.7,35.8,45.1,0,0,no,0,UNIPER,BY,0,0
INGOLSTADT 4,oil,oil,400,100,0.308,400,400,5.5,20.7,35.8,45.1,0,0,no,0,UNIPER,BY,0,0
MARBACH 3,oil,oil,275,70,0.308,275,275,5.5,20.7,35.8,45.1,0,0,no,0,ENBW ENERGIE BADEN-WURTTEMBERG,BW,0,0
LICHTERFELDE 1,oil,oil,150,40,0.298,150,150,5.5,20.7,35.8,45.1,0,0,no,0,VATTENFALL EUROPE AG,BE,0,0
WALHEIM GT 1,oil,oil,120,30,0.326,120,120,5.5,20.7,35.8,45.1,0,0,no,0,ENBW ENERGIE BADEN-WURTTEMBERG,BW,0,0
BARMEN II,oil,oil,111,30,0.339,111,111,5.5,20.7,35.8,45.1,0,0,no,0,WSW - WUPPERTALER STADTWERKE AG,NW,0,0
WILMERSDORF GT 2,oil,oil,110,30,0.307,110,110,5.5,20.7,35.8,45.1,0,0,no,0,VATTENFALL EUROPE AG,BE,0,0
WILMERSDORF GT 3,oil,oil,110,30,0.307,110,110,5.5,20.7,35.8,45.1,0,0,no,0,VATTENFALL EUROPE AG,BE,0,0
WERDOHL ELVERLINGSEN 2,oil,oil,107,30,0.307,107,107,5.5,20.7,35.8,45.1,0,0,no,0,ENERVIE - SUEDWESTFALEN ENERGIE,NW,0,0
WERDOHL ELVERLINGSEN 1,oil,oil,98,25,0.308,98,98,5.5,20.7,35.8,45.1,0,0,no,0,ENERVIE - SUEDWESTFALEN ENERGIE,NW,0,0
ALTBACH I GT 3,oil,oil,97,25,0.298,97,97,5.5,20.7,35.8,45.1,0,0,no,0,ENBW ENERGIE BADEN-WURTTEMBERG,BW,0,0
MITTELSBUEREN GT 3,oil,oil,88,22,0.308,88,88,5.5,20.7,35.8,45.1,0,0,no,0,SWB AG,HB,0,0
FLINGERN GT 1,oil,oil,77,20,0.298,77,77,5.5,20.7,35.8,45.1,0,0,no,0,ENBW ENERGIE BADEN-WURTTEMBERG,NW,0,0
ALTBACH I GT 2,oil,oil,75,19,0.298,75,75,5.5,20.7,35.8,45.1,0,0,no,0,ENBW ENERGIE BADEN-WURTTEMBERG,BW,0,0
MARBACH 3 GT 1,oil,oil,60,15,0.35,60,60,5.5,20.7,35.8,45.1,0,0,no,0,ENBW ENERGIE BADEN-WURTTEMBERG,BW,0,0
MARIENEHE 1,oil,oil,60,15,0.35,60,60,5.5,20.7,35.8,45.1,0,0,no,0,UNIPER,MV,0,0
WILHELMSHAVEN GT 1,oil,oil,56,14,0.308,56,56,5.5,20.7,35.8,45.1,0,0,no,0,UNIPER,NI,0,0
NUERNBERG FRANKEN I GT 1,oil,oil,53,14,0.308,53,53,5.5,20.7,35.8,45.1,0,0,no,0,UNIPER,BY,0,0
WEDEL GT 1,oil,oil,51,13,0.298,51,51,5.5,20.7,35.8,45.1,0,0,no,0,VATTENFALL EUROPE AG,SH,0,0
WEDEL GT 2,oil,oil,51,13,0.298,51,51,5.5,20.7,35.8,45.1,0,0,no,0,VATTENFALL EUROPE AG,SH,0,0
ALTBACH I NO 5 GT 1,oil,oil,50,13,0.298,50,50,5.5,20.7,35.8,45.1,0,0,no,0,ENBW ENERGIE BADEN-WURTTEMBERG,BW,0,0
PEISSENBERG 1,oil,oil,44,11,0.326,44,44,5.5,9.3,9.3,9.3,0,0,no,0,PEISSENBERGER KRAFTWERKS GMBH,BY,0,0
GROSSKAYNA GT 1,oil,oil,38,10,0.352,38,38,5.5,9.3,9.3,9.3,0,0,no,0,ENVIA MITTELDEUTSCHE ENERGIE,ST,0,0
GROSSKAYNA GT 2,oil,oil,38,10,0.352,38,38,5.5,9.3,9.3,9.3,0,0,no,0,ENVIA MITTELDEUTSCHE ENERGIE,ST,0,0
GROSSKAYNA GT 3,oil,oil,38,10,0.352,38,38,5.5,9.3,9.3,9.3,0,0,no,0,ENVIA MITTELDEUTSCHE ENERGIE,ST,0,0
